iter	Passed	Remaining
0	2	202
1	3	177
2	4	148
3	5	132
4	6	122
5	7	116
6	8	111
7	9	107
8	10	104
9	11	101
10	12	99
11	13	96
12	14	94
13	15	96
14	17	96
15	18	95
16	19	93
17	20	91
18	20	89
19	21	87
20	22	85
21	23	83
22	24	81
23	25	79
24	26	78
25	26	76
26	27	75
27	28	74
28	30	73
29	31	73
30	32	72
31	33	71
32	34	69
33	35	68
34	36	67
35	37	66
36	38	64
37	38	63
38	39	62
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	47	53
47	48	52
48	49	51
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
